H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Catalog Data Plane,Entity,Import Business Attributes,pv entity importBusinessMetadata --bmFile=<val>,Upload the file for creating Business Metadata in BULK.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/import-business-attributes,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata/import
Catalog Data Plane,Entity,Get Sample Business Metadata Template,pv entity getBusinessMetadataTemplate,Get the sample Template for uploading/creating bulk BusinessMetaData.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/get-sample-business-metadata-template,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata/import/template
Catalog Data Plane,Entity,Add Or Update Business Metadata,pv entity addOrUpdateBusinessMetadata --guid=<val> --payloadFile=<val> [--isOverwrite],Add business metadata to an entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/add-or-update-business-metadata,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/businessmetadata
Catalog Data Plane,Entity,Delete Business Metadata,pv entity deleteBusinessMetadata --guid=<val>,Remove business metadata from an entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/delete-business-metadata,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/businessmetadata
Catalog Data Plane,Entity,Add Or Update Business Attributes,pv entity addOrUpdateBusinessAttribute --guid=<val> --payloadFile=<val> --bmName=<val>,Add or update business attributes.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/add-or-update-business-attributes,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/businessmetadata/{bmName}
Catalog Data Plane,Entity,Delete Business Attributes,pv entity deleteBusinessAttribute --guid=<val> --bmName=<val>,Delete business metadata from an entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/delete-business-attributes,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/businessmetadata/{bmName}
Catalog Data Plane,Entity,Add given labels to a given entity.,pv entity addLabels --guid=<val> --payloadFile=<val>,Add Label,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/add-label,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/labels
Catalog Data Plane,Entity,Delete given labels to a given entity.,pv entity deleteLabels --guid=<val>,Delete Labels,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/delete-labels,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/labels
Catalog Data Plane,Entity,Set labels to a given entity.,pv entity setLabels --guid=<val> --payloadFile=<val>,Set Labels,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/set-labels,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/guid/{guid}/labels
Catalog Data Plane,Entity,Add given labels to a given entity identified by its type and unique attributes.,pv entity addLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Add Labels By Unique Attribute,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/add-labels-by-unique-attribute,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute/type/{typeName}/labels
Catalog Data Plane,Entity,Delete given labels to a given entity identified by its type and unique attributes.,pv entity deleteLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val>,Delete Labels By Unique Attribute,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/delete-labels-by-unique-attribute,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute/type/{typeName}/labels
Catalog Data Plane,Entity,Set labels to a given entity identified by its type and unique attributes.,pv entity setLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Set Labels By Unique Attribute,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/set-labels-by-unique-attribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute/type/{typeName}/labels
Catalog Data Plane,Types,Get the businessMetadata definition for the given guid.,pv types readBusinessMetadataDef (--guid=<val> | --name=<val>),Get Business Metadata Def By Guid,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/get-business-metadata-def-by-guid,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/businessmetadatadef/guid/{guid}
Catalog Data Plane,Types,Get the businessMetadata definition by it's name (unique).,pv types readBusinessMetadataDef (--guid=<val> | --name=<val>),Get Business Metadata Def By Name,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/get-business-metadata-def-by-name,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/businessmetadatadef/name/{name}